externalId,externalParentId,name.de,slug.de,name.en,slug.en
0,,top,top,top,top

1,0,Herren,herren,men,men
2,0,Damen,damen,women,women

3,1,Bekleidung,herrenbekleidung,clothing,mens-clothing
4,1,Schuhe,herrenschuhe,shoes,men-shoes
5,2,Bekleidung,damenbekleidung,clothing,womens-clothing
6,2,Schuhe,damenschuhe,shoes,women-shoes

7,3,T-Shirts,herrenbekleidung-tshirts,t-shirts,tshirts-men
8,3,Jeans,herrenbekleidung-jeans,jeans,jeans-men
9,4,Sandalen,herrenschuhe-sandalen,sandals,sandals-men
10,4,Stiefel,herrenschuhe-stiefel,boots,boots-men
11,5,T-Shirts,damenbekleidung-tshirts,t-shirts,tshirts-women
12,5,Jeans,damenbekleidung-jeans,jeans,jeans-women
13,6,Sandalen,damenschuhe-sandalen,sandals,sandals-women
14,6,Stiefel,damenschuhe-stiefel,boots,boots-women